jlpt,kanji,kana,english
n5,言葉,ことば,word;language
n5,子供,こども,Child
n5,,この,This
n5,御飯,ごはん,cooked rice;meal
n5,,コピーする,to copy
n5,困る,こまる,to be worried
n5,,これ,This
n5,今月,こんげつ,this month
n5,今週,こんしゅう,this week
n5,,こんな,Such
n5,今晩,こんばん,this evening
n5,,さあ,well…
n5,財布,さいふ,Wallet
n5,魚,さかな,Fish
n5,先,さき,the future;previous
n5,咲く,さく,to bloom
n5,作文,さくぶん,composition;writing
n5,差す,さす,to stretch out hands;to raise an umbrella
n5,雑誌,ざっし,Magazine
n5,砂糖,さとう,Sugar
n5,寒い,さむい,Cold
n5,さ来年,さらいねん,year after next
n5,三,さん,Three
n5,散歩,さんぽする,to stroll
n5,四,し;よん,Four
n5,塩,しお,Salt
n5,,しかし,However
n5,時間,じかん,Time
n5,仕事,しごと,Job
n5,辞書,じしょ,Dictionary
n5,静か,しずか,Quiet
n5,下,した,Below
n5,七,しち;なな,Seven
n5,質問,しつもん,Question
n5,自転車,じてんしゃ,Bicycle
n5,自動車,じどうしゃ,Automobile
n5,死ぬ,しぬ,to die
n5,字引,じびき,Dictionary
n5,自分,じぶん,Oneself
n5,閉まる,しまる,to close;to be closed
n5,閉める,しめる,to close something
n5,締める,しめる,to tie
n5,,じゃ;じゃあ,well then…
n5,写真,しゃしん,photograph
n5,,シャツ,Shirt
n5,,シャワー,Shower
n5,十,じゅう とお,Ten
n5,授業,じゅぎょう,lesson;class work
n5,宿題,しゅくだい,homework
n5,上手,じょうず,Skillful
n5,丈夫,じょうぶ,strong;durable
n5,,しょうゆ,soy sauce
n5,食堂,しょくどう,dining hall
n5,知る,しる,to know
n5,白,しろ,White
n5,白い,しろい,White
n5,新聞,しんぶん,newspaper
n5,水曜日,すいようび,Wednesday
n5,吸う,すう,to smoke;to suck
n5,,スカート,Skirt
n5,好き,すき,Likeable
n5,少ない,すくない,a few
n5,,すぐに,Instantly
n5,少し,すこし,Few
n5,涼しい,すずしい,Refreshing
n5,,ストーブ,Heater
n5,,スプーン,Spoon
n5,,スポーツ,Sport
n5,,ズボン,Trousers
n5,住む,すむ,to live in
n5,,スリッパ,Slippers
n5,,する,to do
n5,座る,すわる,to sit
n5,背,せ,height;stature
n5,生徒,せいと,Pupil
n5,,セーター,sweater;jumper
n5,,せっけん,Economy
n5,背広,せびろ,business suit
n5,狭い,せまい,Narrow
n5,,ゼロ,Zero
n5,千,せん,Thousand
n5,先月,せんげつ,last month
n5,先週,せんしゅう,last week
n5,先生,せんせい,teacher;doctor
n5,洗濯,せんたく,Washing
n5,全部,ぜんぶ,All
n5,掃除,そうじする,to clean;to sweep
n5,,そうして;そして,And
n5,,そこ,that place
n5,,そちら,over there
n5,,そっち,over there
n5,外,そと,Outside
n5,,その,That
n5,,そば,near;beside
n5,空,そら,Sky
n5,,それ,that
n5,,それから,after that
n5,,それでは,in that situation
n5,大学,だいがく,university
n5,大使館,たいしかん,embassy
n5,大丈夫,だいじょうぶ,all right
n5,大好き,だいすき,to be very likeable
n5,大切,たいせつ,important
n5,台所,だいどころ,kitchen
n5,,たいへん,very
n5,,たいへん,difficult situation
n5,高い,たかい,tall;expensive
n5,,たくさん,many
n5,,タクシー,taxi
n5,出す,だす,to put out
n5,立つ,たつ,to stand
n5,,たて,length;height
n5,建物,たてもの,building
n5,楽しい,たのしい,enjoyable
n5,頼む,たのむ,to ask
n5,,たばこ,tobacco;cigarettes
n5,,たぶん,probably
n5,食べ物,たべもの,food
n5,食べる,たべる,to eat
n5,卵,たまご,egg
n5,誰,だれ,who
n5,誰,だれか,somebody
n5,誕生日,たんじょうび,birthday
n5,,だんだん,gradually
n5,小さい,ちいさい,little
n5,小さな,ちいさな,little
n5,近い,ちかい,near
n5,違う,ちがう,to differ
n5,近く,ちかく,near
n5,地下鉄,ちかてつ,underground train
n5,地図,ちず,map
n5,茶色,ちゃいろ,brown
n5,,ちゃわん,rice bowl
n5,,ちょうど,exactly
n5,,ちょっと,somewhat
n5,一日,ついたち,first of month
n5,使う,つかう,to use
n5,疲れる,つかれる,to get tired
n5,次,つぎ,next
n5,着く,つく,to arrive at
n5,机,つくえ,desk
n5,作る,つくる,to make
n5,,つける,to turn on
n5,勤める,つとめる,to work for someone
n5,,つまらない,boring
n5,冷たい,つめたい,cold to the touch
n5,強い,つよい,powerful
n5,手,て,hand
n5,,テープ,tape
n5,,テーブル,table
n5,,テープレコーダー,tape recorder
n5,出かける,でかける,to go out
n5,手紙,てがみ,letter
n5,,できる,to be able to
n5,出口,でぐち,exit
n5,,テスト,test
n5,,では,with that...
n5,,デパート,department store
n5,,でも,but
n5,出る,でる,to appear;to leave
n5,,テレビ,television
n5,天気,てんき,weather
n5,電気,でんき,electricity;electric light
n5,電車,でんしゃ,electric train
n5,電話,でんわ,telephone
n5,戸,と,Japanese style door
n5,,ドア,Western style door
n5,,トイレ,toilet
n5,,どう,how;in what way
n5,,どうして,for what reason
n5,,どうぞ,please
n5,動物,どうぶつ,animal
n5,,どうも,thanks
n5,遠い,とおい,far
n5,十日,とおか,ten days;the tenth day
n5,時々,ときどき,sometimes
n5,時計,とけい,watch;clock
n5,,どこ,where
n5,所,ところ,place
n5,年,とし,year
n5,図書館,としょかん,library
n5,,どちら,which of two
n5,,どっち,which
n5,,とても,very
n5,,どなた,who
n5,隣,となり,next door to
n5,,どの,which
n5,飛ぶ,とぶ,to fly;to hop
n5,止まる,とまる,to come to a halt
n5,友達,ともだち,friend
n5,土曜日,どようび,Saturday
n5,鳥,とり,bird
n5,とり肉,とりにく,chicken meat
n5,取る,とる,to take something
n5,撮る,とる,to take a photo or record a film
n5,,どれ,which (of three or more)
n5,,ナイフ,knife
n5,中,なか,middle
n5,長い,ながい,long
n5,鳴く,なく,animal noise. to chirp;roar or croak etc.
n5,無くす,なくす,to lose something
n5,,なぜ,why
n5,夏,なつ,summer
n5,夏休み,なつやすみ,summer holiday
n5,,など,et cetera
n5,七つ,ななつ,seven
n5,七日,なのか,seven days;the seventh day
n5,名前,なまえ,name
n5,習う,ならう,to learn
n5,並ぶ,ならぶ,to line up;to stand in a line
n5,並べる,ならべる,to line up;to set up
n5,,なる,to become
n5,何,なん;なに,what
n5,二,に,two
n5,賑やか,にぎやか,bustling;busy
n5,肉,にく,meat
n5,西,にし,west
n5,日曜日,にちようび,Sunday
n5,荷物,にもつ,luggage
n5,,ニュース,news
n5,庭,にわ,garden
n5,脱ぐ,ぬぐ,to take off clothes
n5,温い,ぬるい,luke warm
n5,,ネクタイ,tie;necktie
n5,猫,ねこ,cat
n5,寝る,ねる,to go to bed;to sleep
n5,,ノート,notebook;exercise book
n5,登る,のぼる,to climb
n5,飲み物,のみもの,a drink
n5,飲む,のむ,to drink
n5,乗る,のる,to get on;to ride
n5,歯,は,tooth
n5,,パーティー,party
n5,,はい,yes
n5,灰皿,はいざら,ashtray
n5,入る,はいる,to enter;to contain
n5,葉書,はがき,postcard
n5,,はく,to wear;to put on trousers
n5,箱,はこ,box
n5,橋,はし,bridge
n5,,はし,chopsticks
n5,始まる,はじまる,to begin
n5,初め;始め,はじめ,beginning
n5,初めて,はじめて,for the first time
n5,走る,はしる,to run
n5,,バス,bus
n5,,バター,butter
n5,二十歳,はたち,20 years old;20th year
n5,働く,はたらく,to work
n5,八,はち,eight
n5,二十日,はつか,twenty days;twentieth
n5,花,はな,flower
n5,鼻,はな,nose
n5,話,はなし,talk;story
n5,話す,はなす,to speak
n5,早い,はやい,early
n5,速い,はやい,quick
n5,春,はる,spring
n5,貼る,はる,to stick
n5,晴れ,はれ,clear weather
n5,晴れる,はれる,to be sunny
n5,半,はん,half
n5,晩,ばん,evening
n5,,パン,bread
n5,,ハンカチ,handkerchief
n5,番号,ばんごう,number
n5,晩御飯,ばんごはん,evening meal
n5,半分,はんぶん,half minute
n5,東,ひがし,east
n5,引く,ひく,to pull
n5,弾く,ひく,to play an instrument with strings;including piano
n5,低い,ひくい,short;low
n5,飛行機,ひこうき,aeroplane
n5,左,ひだり,left hand side
n5,人,ひと,person
n5,一つ,ひとつ,one
n5,一月,ひとつき,one month
n5,一人,ひとり,one person
n5,暇,ひま,free time
n5,百,ひゃく,hundred
n5,病院,びょういん,hospital
n5,病気,びょうき,illness
n5,昼,ひる,noon;daytime
n5,昼御飯,ひるごはん,midday meal
n5,広い,ひろい,spacious;wide
n5,,フィルム,roll of film
n5,封筒,ふうとう,envelope
n5,,プール,swimming pool
n5,,フォーク,fork
n5,吹く,ふく,to blow
n5,服,ふく,clothes
n5,二つ,ふたつ,two
n5,豚肉,ぶたにく,pork
n5,二人,ふたり,two people
n5,二日,ふつか,two days;second day of the month
n5,太い,ふとい,fat
n5,冬,ふゆ,winter
n5,降る,ふる,to fall;e.g. rain or snow
n5,古い,ふるい,old (not used for people)
n5,,ふろ,bath
n5,文章,ぶんしょう,sentence;text
n5,,ページ,page
n5,下手,へた,unskillful
n5,,ベッド,bed
n5,,ペット,pet
n5,部屋,へや,room
n5,辺,へん,area
n5,,ペン,pen
n5,勉強,べんきょうする,to study
n5,便利,べんり,useful;convenient
n5,帽子,ぼうし,hat
n5,,ボールペン,ball-point pen
n5,,ほか,other;the rest
n5,,ポケット,pocket
n5,欲しい,ほしい,want
n5,,ポスト,post
n5,細い,ほそい,thin
n5,,ボタン,button
n5,,ホテル,hotel
n5,本,ほん,book
n5,本棚,ほんだな,bookshelves
n5,,ほんとう,truth
n5,毎朝,まいあさ,every morning
n5,毎月,まいげつ;まいつき,every month
n5,毎週,まいしゅう,every week
n5,毎日,まいにち,every day
n5,毎年,まいねん;まいとし,every year
n5,毎晩,まいばん,every night
n5,前,まえ,before
n5,曲る,まがる,to turn;to bend
n5,,まずい,unpleasant
n5,,また,again;and
n5,,まだ,yet;still
n5,町,まち,town;city
n5,待つ,まつ,to wait
n5,,まっすぐ,straight ahead;direct
n5,,マッチ,match
n5,窓,まど,window
n5,丸い;円い,まるい,round;circular
n5,万,まん,ten thousand
n5,万年筆,まんねんひつ,fountain pen
n5,磨く,みがく,to brush teeth;to polish
n5,右,みぎ,right side
n5,短い,みじかい,short
n5,水,みず,water
n5,店,みせ,shop
n5,見せる,みせる,to show
n5,道,みち,street
n5,三日,みっか,three days;third day of the month
n5,三つ,みっつ,three
n5,緑,みどり,green
n5,皆さん,みなさん,everyone
n5,南,みなみ,south
n5,耳,みみ,ear
n5,見る 観る,みる,to see;to watch
n5,,みんな,everyone
n5,六日,むいか,six days;sixth day of the month
n5,向こう,むこう,over there
n5,難しい,むずかしい,difficult
n5,六つ,むっつ,six
n5,村,むら,village
n5,目,め,eye
n5,,メートル,metre
n5,眼鏡,めがね,glasses
n5,,もう,already
n5,もう一度,もういちど,again
n5,木曜日,もくようび,Thursday
n5,持つ,もつ,to hold
n5,,もっと,more
n5,物,もの,thing
n5,門,もん,gate
n5,問題,もんだい,problem
n5,八百屋,やおや,greengrocer
n5,野菜,やさい,vegetable
n5,易しい,やさしい,easy;simple
n5,安い,やすい,cheap
n5,休み,やすみ,rest;holiday
n5,休む,やすむ,to rest
n5,八つ,やっつ,eight
n5,山,やま,mountain
n5,,やる,to do
n5,夕方,ゆうがた,evening
n5,夕飯,ゆうはん,dinner
n5,郵便局,ゆうびんきょく,post office
n5,昨夜,ゆうべ,last night
n5,有名,ゆうめい,famous
n5,雪,ゆき,snow
n5,行く,ゆく,to go
n5,,ゆっくりと,slowly
n5,八日,ようか,eight days;eighth day of the month
n5,洋服,ようふく,western-style clothes
n5,,よく,often;well
n5,横,よこ,beside;side;width
n5,四日,よっか,four days;fouth day of the month
n5,四つ,よっつ,four
n5,呼ぶ,よぶ,to call out;to invite
n5,読む,よむ,to read
n5,夜,よる,evening;night
n5,弱い,よわい,weak
n5,来月,らいげつ,next month
n5,来週,らいしゅう,next week
n5,来年,らいねん,next year
n5,,ラジオ,radio
n5,,ラジカセ;ラジオカセット,radio cassette player
n5,,りっぱ,splendid
n5,留学生,りゅうがくせい,overseas student
n5,両親,りょうしん,both parents
n5,料理,りょうり,cuisine
n5,旅行,りょこう,travel
n5,零,れい,zero
n5,冷蔵庫,れいぞうこ,refrigerator
n5,,レコード,record
n5,,レストラン,restaurant
n5,練習,れんしゅうする,to practice
n5,廊下,ろうか,corridor
n5,六,ろく,six
n5,,ワイシャツ,business shirt
n5,若い,わかい,young
n5,分かる,わかる,to be understood
n5,忘れる,わすれる,to forget
n5,私,わたくし,(humble) I;myself
n5,私,わたし,I;myself
n5,渡す,わたす,to hand over
n5,渡る,わたる,to go across
n5,悪い,わるい,bad
n5,,より、ほう,Used for comparison.
n4,,あ,Ah
n4,,ああ,like that
n4,,あいさつ・する,to greet
n4,間,あいだ,a space
n4,合う,あう,to match
n4,,あかちゃん,infant
n4,上る,あがる,to rise
n4,赤ん坊,あかんぼう,baby
n4,空く,あく,to open;to become empty
n4,,アクセサリー,accessory
n4,,あげる,to give
n4,浅い,あさい,shallow;superficial
n4,味,あじ,flavour
n4,,アジア,Asia
n4,明日,あす,tomorrow
n4,遊び,あそび,play
n4,集る,あつまる,to gather
n4,集める,あつめる,to collect something
n4,,アナウンサー,announcer
n4,,アフリカ,Africa
n4,,アメリカ,America
n4,謝る,あやまる,to apologize
n4,,アルコール,alcohol
n4,,アルバイト,part-time job
n4,安心,あんしん,relief
n4,安全,あんぜん,safety
n4,,あんな,such
n4,案内,あんない・する,to guide
n4,以下,いか,less than
n4,以外,いがい,with the exception of
n4,医学,いがく,medical science
n4,生きる,いきる,to live
n4,意見,いけん,opinion
n4,石,いし,stone
n4,,いじめる,to tease
n4,以上,いじょう,more than;this is all
n4,急ぐ,いそぐ,to hurry
n4,致す,いたす,(humble) to do
n4,,いただく,(humble) to receive
n4,一度,いちど,once
n4,一生懸命,いっしょうけんめい,with utmost effort
n4,,いっぱい,full
n4,糸,いと,thread
n4,以内,いない,within
n4,田舎,いなか,countryside
n4,祈る,いのる,to pray
n4,,いらっしゃる,(respectful) to be;to come or to go
n4,植える,うえる,to plant;to grow
n4,,うかがう,to visit
n4,受付,うけつけ,receipt
n4,受ける,うける,to take a lesson or test
n4,動く,うごく,to move
n4,,うそ,a lie
n4,,うち,within
n4,打つ,うつ,to hit
n4,美しい,うつくしい,beautiful
n4,写す,うつす,to copy or photograph
n4,移る,うつる,to move house or transfer
n4,腕,うで,arm
n4,,うまい,delicious
n4,裏,うら,reverse side
n4,売り場,うりば,place where things are sold
n4,,うれしい,glad
n4,,うん,(informal) yes
n4,運転,うんてん・する,to drive
n4,運転手,うんてんしゅ,driver
n4,運動,うんどう・する,to exercise
n4,,エスカレーター,escalator
n4,枝,えだ,branch;twig
n4,選ぶ,えらぶ,to choose
n4,遠慮,えんりょ・する,to be reserved;to be restrained
n4,,おいでになる,(respectful) to be
n4,お祝い,おいわい,congratulation
n4,,オートバイ,motorcycle
n4,,おかげ,owing to
n4,,おかしい,strange or funny
n4,億,おく,one hundred million
n4,屋上,おくじょう,rooftop
n4,贈り物,おくりもの,gift
n4,送る,おくる,to send
n4,遅れる,おくれる,to be late
n4,起す,おこす,to wake
n4,行う,おこなう,to do
n4,怒る,おこる,to get angry;to be angry
n4,押し入れ,おしいれ,closet
n4,お嬢さん,おじょうさん,young lady
n4,お宅,おたく,(polite) your house
n4,落る,おちる,to fall or drop
n4,,おっしゃる,(respectful) to say
n4,夫,おっと,husband
n4,,おつり,change from purchase;balance
n4,音,おと,sound;note
n4,落す,おとす,to drop
n4,踊り,おどり,a dance
n4,踊る,おどる,to dance
n4,驚く,おどろく,to be surprised
n4,お祭り,おまつり,festival
n4,お見舞い,おみまい,calling on someone who is ill;enquiry
n4,お土産,おみやげ,souvenir
n4,思い出す,おもいだす,to remember
n4,思う,おもう,to think;to feel
n4,,おもちゃ,toy
n4,表,おもて,the front
n4,親,おや,parents
n4,下りる,おりる,to get off
n4,折る,おる,to break or to fold
n4,お礼,おれい,expression of gratitude
n4,折れる,おれる,to break or be folded
n4,終わり,おわり,the end
n4,,カーテン,curtain
n4,海岸,かいがん,coast
n4,会議,かいぎ,meeting
n4,会議室,かいぎしつ,meeting room
n4,会場,かいじょう,assembly hall or meeting place
n4,会話,かいわ,conversation
n4,帰り,かえり,return
n4,変える,かえる,to change
n4,科学,かがく,science
n4,鏡,かがみ,mirror
n4,掛ける,かける,to hang something
n4,飾る,かざる,to decorate
n4,火事,かじ,fire
n4,,ガス,petrol
n4,,ガソリン,petrol
n4,,ガソリンスタンド,petrol station
n4,堅;硬;固い,かたい,hard
n4,形,かたち,shape
n4,片付ける,かたづける,to tidy up
n4,課長,かちょう,section manager
n4,勝つ,かつ,to win
n4,,かっこう,appearance
n4,家内,かない,housewife
n4,悲しい,かなしい,sad
n4,必ず,かならず,certainly;necessarily
n4,お・金持ち,かねもち;おかねもち,rich man
n4,彼女,かのじょ,she;girlfriend
n4,壁,かべ,wall
n4,,かまう,to mind
n4,髪,かみ,hair
n4,噛む,かむ,to bite;to chew
n4,通う,かよう,to commute
n4,,ガラス,a glass pane
n4,彼,かれ,he;boyfriend
n4,彼ら,かれら,they
n4,乾く,かわく,to get dry
n4,代わり,かわり,substitute;alternate
n4,変わる,かわる,to change
n4,考える,かんがえる,to consider
n4,関係,かんけい,relationship
n4,看護婦,かんごふ,female nurse
n4,簡単,かんたん,simple
n4,気,き,spirit;mood
n4,機会,きかい,opportunity
n4,危険,きけん,danger
n4,聞こえる,きこえる,to be heard
n4,汽車,きしゃ,steam train
n4,技術,ぎじゅつ,art;technology;skill
n4,季節,きせつ,season
n4,規則,きそく,regulations
n4,,きっと,surely
n4,絹,きぬ,silk
n4,厳しい,きびしい,strict
n4,気分,きぶん,mood
n4,決る,きまる,to be decided
n4,君,きみ,(informal) You (used by men towards women)
n4,決める,きめる,to decide
n4,気持ち,きもち,feeling;mood
n4,着物,きもの,kimono
n4,客,きゃく,guest;customer
n4,急,きゅう,urgent;steep
n4,急行,きゅうこう,speedy;express
n4,教育,きょういく,education
n4,教会,きょうかい,church
n4,競争,きょうそう,competition
n4,興味,きょうみ,an interest
n4,近所,きんじょ,neighbourhood
n4,具合,ぐあい,condition;health
n4,空気,くうき,air;atmosphere
n4,空港,くうこう,airport
n4,草,くさ,grass
n4,,くださる,(respectful) to give
n4,首,くび,neck
n4,雲,くも,cloud
n4,比べる,くらべる,to compare
n4,,くれる,to give
n4,暮れる,くれる,to get dark;to come to an end
n4,君,くん,suffix for familiar young male
n4,毛,け,hair or fur
n4,計画,けいかく・する,to plan
n4,経験,けいけん・する,to experience
n4,経済,けいざい,finance;economy
n4,警察,けいさつ,police
n4,,ケーキ,cake
n4,,けが・する,to injure
n4,景色,けしき,scene;landscape
n4,消しゴム,けしゴム,eraser
n4,下宿,げしゅく,lodging
n4,決して,けっして,never
n4,,けれど;けれども,however
n4,原因,げんいん,cause;source
n4,,けんか・する,to quarrel
n4,研究,けんきゅう,research
n4,研究室,けんきゅうしつ,study room;laboratory
n4,見物,けんぶつ,sightseeing
n4,子,こ,child
n4,,こう,this way
n4,郊外,こうがい,outskirts
n4,講義,こうぎ,lecture
n4,工業,こうぎょう,the manufacturing industry
n4,高校,こうこう,high school
n4,高校生,こうこうせい,high school student
n4,工場,こうじょう,factory
n4,校長,こうちょう,headmaster
n4,交通,こうつう,traffic;transportation
n4,講堂,こうどう,auditorium
n4,高等学校,こうとうがっこう,high school
n4,公務員,こうむいん,government worker
n4,国際,こくさい,international
n4,心,こころ,core;heart
n4,御主人,ごしゅじん,(honorable) your husband
n4,故障,こしょう・する,to break-down
n4,ご存じ,ごぞんじ,knowing;acquaintance
n4,答,こたえ,response
n4,,ごちそう,a feast
n4,,こと,thing;matter
n4,小鳥,ことり,small bird
n4,,このあいだ,the other day;recently
n4,,このごろ,these days;nowadays
n4,細かい,こまかい,small;fine
n4,,ごみ,rubbish
n4,込む,こむ,to be crowded
n4,米,こめ,uncooked rice
n4,,ごらんになる,(respectful) to see
n4,,これから,after this
n4,怖い,こわい,frightening
n4,壊す,こわす,to break
n4,壊れる,こわれる,to be broken
n4,,コンサート,concert
n4,今度,こんど,now;next time
n4,,コンピュータ;コンピューター,computer
n4,今夜,こんや,tonight
n4,最近,さいきん,latest;nowadays
n4,最後,さいご,last;end
n4,最初,さいしょ,beginning;first
n4,坂,さか,slope;hill
n4,探す,さがす,to look for
n4,下る,さがる,to get down;to descend
